workload,mode,mean_ms
deep_sm,funnel.sh.arrv.batch,6.89
fin_sm,funnel.sh.arrv.batch,8.55
graph-hv_sm,funnel.sh.arrv.batch,18.08
graph-io_sm,funnel.sh.arrv.batch,12.63
hash_sm,funnel.sh.arrv.batch,0.98
io_sm,funnel.sh.arrv.batch,6.16
lg-dense_sm,funnel.sh.arrv.batch,16.35
noop_sm,funnel.sh.arrv.batch,0.07
parse-hv_sm,funnel.sh.arrv.batch,21.76
parse-lt_sm,funnel.sh.arrv.batch,5.99
wide_sm,funnel.sh.arrv.batch,7.13
xform_sm,funnel.sh.arrv.batch,9.77
aggr_sm,funnel.sh.arrv.k2,15.27
bal_sm,funnel.sh.arrv.k2,18.06
deep_sm,funnel.sh.arrv.k2,6.89
fin_sm,funnel.sh.arrv.k2,8.56
graph-hv_sm,funnel.sh.arrv.k2,18.10
graph-io_sm,funnel.sh.arrv.k2,11.36
hash_sm,funnel.sh.arrv.k2,0.97
io_sm,funnel.sh.arrv.k2,6.00
lg-dense_sm,funnel.sh.arrv.k2,16.19
noop_sm,funnel.sh.arrv.k2,0.07
parse-hv_sm,funnel.sh.arrv.k2,20.62
parse-lt_sm,funnel.sh.arrv.k2,5.51
wide_sm,funnel.sh.arrv.k2,6.83
xform_sm,funnel.sh.arrv.k2,9.75
aggr_sm,funnel.sh.arrv.k4,13.96
bal_sm,funnel.sh.arrv.k4,16.95
deep_sm,funnel.sh.arrv.k4,6.91
fin_sm,funnel.sh.arrv.k4,8.54
graph-hv_sm,funnel.sh.arrv.k4,19.84
graph-io_sm,funnel.sh.arrv.k4,11.87
hash_sm,funnel.sh.arrv.k4,0.97
io_sm,funnel.sh.arrv.k4,6.03
lg-dense_sm,funnel.sh.arrv.k4,16.17
noop_sm,funnel.sh.arrv.k4,0.07
parse-hv_sm,funnel.sh.arrv.k4,20.69
parse-lt_sm,funnel.sh.arrv.k4,4.91
wide_sm,funnel.sh.arrv.k4,6.89
xform_sm,funnel.sh.arrv.k4,9.76
aggr_sm,funnel.sh.arrv.push,13.75
bal_sm,funnel.sh.arrv.push,17.93
deep_sm,funnel.sh.arrv.push,6.92
fin_sm,funnel.sh.arrv.push,8.55
graph-hv_sm,funnel.sh.arrv.push,20.36
graph-io_sm,funnel.sh.arrv.push,11.32
hash_sm,funnel.sh.arrv.push,0.94
io_sm,funnel.sh.arrv.push,5.80
lg-dense_sm,funnel.sh.arrv.push,16.13
noop_sm,funnel.sh.arrv.push,0.07
parse-hv_sm,funnel.sh.arrv.push,21.79
